 format: day,hour,forecast,value  location:53_114 Start : 20170101 
 7,0800,+7,-1.000000 
 7,1100,+4,2.000000 
 7,1100,+7,-1.000000 
 7,1400,+4,2.000000 
 7,1400,+7,-1.000000 
 7,1700,+4,2.000000 
 7,1700,+7,-1.000000 
 7,2000,+4,1.000000 
 7,2000,+7,-1.000000 
 7,2000,+10,-4.000000 
 7,2300,+4,1.000000 
 7,2300,+7,-1.000000 
 7,2300,+10,-4.000000 
 8,0200,+4,1.000000 
 8,0200,+7,-1.000000 
 8,0200,+10,-4.000000 
 8,0500,+4,-1.000000 
 8,0500,+7,-4.000000 
 8,0800,+4,-1.000000 
 8,0800,+7,-4.000000 
 8,1100,+4,-1.000000 
 8,1100,+7,-4.000000 
 8,1400,+4,-1.000000 
 8,1400,+7,-4.000000 
 8,1700,+4,-1.000000 
 8,1700,+7,-4.000000 
 8,2000,+4,-2.000000 
 8,2000,+7,-4.000000 
 8,2000,+10,0.000000 
 8,2300,+4,-2.000000 
 8,2300,+7,-4.000000 
 8,2300,+10,0.000000 
 9,0200,+4,-2.000000 
 9,0200,+7,-4.000000 
 9,0200,+10,0.000000 
 9,0500,+4,-4.000000 
 9,0500,+7,0.000000 
 9,0800,+4,-4.000000 
 9,0800,+7,0.000000 
 9,1100,+4,-4.000000 
 9,1100,+7,0.000000 
 9,1400,+4,-4.000000 
 9,1400,+7,0.000000 
 9,1700,+4,-4.000000 
 9,1700,+7,0.000000 
 9,2000,+4,-4.000000 
 9,2000,+7,0.000000 
 9,2000,+10,1.000000 
 9,2300,+4,-4.000000 
 9,2300,+7,0.000000 
 9,2300,+10,1.000000 
 10,0200,+4,-4.000000 
 10,0200,+7,0.000000 
 10,0200,+10,1.000000 
 10,0500,+4,0.000000 
 10,0500,+7,1.000000 
 10,0800,+4,0.000000 
 10,0800,+7,1.000000 
 10,1100,+4,0.000000 
 10,1100,+7,1.000000 
 10,1400,+4,0.000000 
 10,1400,+7,1.000000 
 10,1700,+4,0.000000 
 10,1700,+7,1.000000 
 10,2000,+4,0.000000 
 10,2000,+7,1.000000 
 10,2000,+10,4.000000 
 10,2300,+4,0.000000 
 10,2300,+7,1.000000 
 10,2300,+10,4.000000 
 11,0200,+4,0.000000 
 11,0200,+7,1.000000 
 11,0200,+10,4.000000 
 11,0500,+4,1.000000 
 11,0500,+7,4.000000 
 11,0800,+4,1.000000 
 11,0800,+7,5.000000 
 11,1100,+4,1.000000 
 11,1100,+7,5.000000 
 11,1400,+4,1.000000 
 11,1400,+7,5.000000 
 11,1700,+4,1.000000 
 11,1700,+7,5.000000 
 11,2000,+4,2.000000 
 11,2000,+7,6.000000 
 11,2000,+10,3.000000 
 11,2300,+4,2.000000 
 11,2300,+7,6.000000 
 11,2300,+10,3.000000 
 12,0200,+4,2.000000 
 12,0200,+7,6.000000 
 12,0200,+10,3.000000 
 12,0500,+4,6.000000 
 12,0500,+7,3.000000 
 12,0800,+4,6.000000 
 12,0800,+7,3.000000 
 12,1100,+4,6.000000 
 12,1100,+7,3.000000 
 12,1400,+4,6.000000 
 12,1400,+7,3.000000 
 12,1700,+4,6.000000 
 12,1700,+7,3.000000 
 12,2000,+4,6.000000 
 12,2000,+7,3.000000 
 12,2000,+10,7.000000 
 12,2300,+4,6.000000 
 12,2300,+7,3.000000 
 12,2300,+10,7.000000 
 13,0200,+4,6.000000 
 13,0200,+7,3.000000 
 13,0200,+10,7.000000 
 13,0500,+4,3.000000 
 13,0500,+7,7.000000 
 13,0800,+4,3.000000 
 13,0800,+7,8.000000 
 13,1100,+4,3.000000 
 13,1100,+7,8.000000 
 13,1400,+4,3.000000 
 13,1400,+7,8.000000 
 13,1700,+4,3.000000 
 13,1700,+7,8.000000 
 13,2000,+4,3.000000 
 13,2000,+7,8.000000 
 13,2000,+10,11.000000 
 13,2300,+4,3.000000 
 13,2300,+7,8.000000 
 13,2300,+10,11.000000 
 14,0200,+4,3.000000 
 14,0200,+7,8.000000 
 14,0200,+10,11.000000 
 14,0500,+4,8.000000 
 14,0500,+7,11.000000 
 14,0800,+4,8.000000 
 14,0800,+7,11.000000 
 14,1100,+4,8.000000 
 14,1100,+7,11.000000 
 14,1400,+4,8.000000 
 14,1400,+7,11.000000 
 14,1700,+4,8.000000 
 14,1700,+7,11.000000 
 14,2000,+4,8.000000 
 14,2000,+7,11.000000 
 14,2000,+10,3.000000 
 14,2300,+4,8.000000 
 14,2300,+7,11.000000 
 14,2300,+10,3.000000 
 15,0200,+4,8.000000 
 15,0200,+7,11.000000 
 15,0200,+10,3.000000 
 15,0500,+4,11.000000 
 15,0500,+7,3.000000 
 15,0800,+4,12.000000 
 15,0800,+7,3.000000 
 15,1100,+4,12.000000 
 15,1100,+7,3.000000 
 15,1400,+4,12.000000 
 15,1400,+7,3.000000 
 15,1700,+4,12.000000 
 15,1700,+7,3.000000 
 15,2000,+4,12.000000 
 15,2000,+7,2.000000 
 15,2000,+10,1.000000 
 15,2300,+4,12.000000 
 15,2300,+7,2.000000 
 15,2300,+10,1.000000 
 16,0200,+4,12.000000 
 16,0200,+7,2.000000 
 16,0200,+10,1.000000 
 16,0500,+4,2.000000 
 16,0500,+7,1.000000 
 16,0800,+4,2.000000 
 16,0800,+7,2.000000 
 16,1100,+4,2.000000 
 16,1100,+7,2.000000 
 16,1400,+4,2.000000 
 16,1400,+7,2.000000 
 16,1700,+4,2.000000 
 16,1700,+7,2.000000 
 16,2000,+4,2.000000 
 16,2000,+7,2.000000 
 16,2000,+10,9.000000 
 16,2300,+4,2.000000 
 16,2300,+7,2.000000 
 16,2300,+10,9.000000 
 17,0200,+4,2.000000 
 17,0200,+7,2.000000 
 17,0200,+10,9.000000 
 17,0500,+4,2.000000 
 17,0500,+7,9.000000 
 17,0800,+4,2.000000 
 17,0800,+7,8.000000 
 17,1100,+4,2.000000 
 17,1100,+7,8.000000 
 17,1400,+4,2.000000 
 17,1400,+7,8.000000 
 17,1700,+4,2.000000 
 17,1700,+7,8.000000 
 17,2000,+4,2.000000 
 17,2000,+7,8.000000 
